1.00482375246404_[TARGET 144 NAME]_[ORGANIZER 34 NAME]
1.00694179026555_[TARGET 424 NAME]_[ORGANIZER 24 NAME]
1.01047807920716_[TARGET 99 NAME]_[ORGANIZER 23 NAME]
1.01149820529112_[TARGET 18 NAME]_[ORGANIZER 21 NAME]
1.01152158858201_[TARGET 165 NAME]_[ORGANIZER 23 NAME]
1.01211549844128_[TARGET 615 NAME]_[ORGANIZER 34 NAME]
1.01491729762532_[TARGET 221 NAME]_[ORGANIZER 6 NAME]
1.01538529999893_[TARGET 376 NAME]_[ORGANIZER 17 NAME]
1.0171881482003_[TARGET 12 NAME]_[ORGANIZER 24 NAME]
1.018600499625_[TARGET 327 NAME]_[ORGANIZER 40 NAME]
1.01938546523941_[TARGET 140 NAME]_[ORGANIZER 5 NAME]
1.02906969389083_[TARGET 371 NAME]_[ORGANIZER 38 NAME]
1.03252185487717_[TARGET 41 NAME]_[ORGANIZER 32 NAME]
1.03454913134276_[TARGET 170 NAME]_[ORGANIZER 14 NAME]
1.03697606485299_[TARGET 48 NAME]_[ORGANIZER 28 NAME]
1.03842629977838_[TARGET 117 NAME]_[ORGANIZER 1 NAME]
1.03945553825105_[TARGET 408 NAME]_[ORGANIZER 32 NAME]
1.04168486444514_[TARGET 353 NAME]_[ORGANIZER 25 NAME]
1.04308028476457_[TARGET 368 NAME]_[ORGANIZER 19 NAME]
1.04361179312063_[TARGET 5 NAME]_[ORGANIZER 21 NAME]
1.0455204915529_[TARGET 15 NAME]_[ORGANIZER 26 NAME]
1.04559994448931_[TARGET 469 NAME]_[ORGANIZER 36 NAME]
1.04736314016948_[TARGET 502 NAME]_[ORGANIZER 30 NAME]
1.05517020859334_[TARGET 262 NAME]_[ORGANIZER 12 NAME]
1.06123620165719_[TARGET 23 NAME]_[ORGANIZER 21 NAME]
1.06398891198349_[TARGET 595 NAME]_[ORGANIZER 16 NAME]
1.06753025201207_[TARGET 12 NAME]_[ORGANIZER 32 NAME]
1.06774949671265_[TARGET 121 NAME]_[ORGANIZER 11 NAME]
1.07092020427939_[TARGET 399 NAME]_[ORGANIZER 3 NAME]
1.07509392284718_[TARGET 168 NAME]_[ORGANIZER 20 NAME]
1.08746034265213_[TARGET 163 NAME]_[ORGANIZER 22 NAME]
1.08786890540322_[TARGET 578 NAME]_[ORGANIZER 33 NAME]
1.08958924839235_[TARGET 160 NAME]_[ORGANIZER 14 NAME]
1.08997060849167_[TARGET 317 NAME]_[ORGANIZER 3 NAME]
1.09697480111901_[TARGET 71 NAME]_[ORGANIZER 17 NAME]
1.09959739549127_[TARGET 623 NAME]_[ORGANIZER 27 NAME]
1.10321223435047_[TARGET 481 NAME]_[ORGANIZER 30 NAME]
1.10426463583795_[TARGET 583 NAME]_[ORGANIZER 20 NAME]
1.10609110554798_[TARGET 605 NAME]_[ORGANIZER 9 NAME]
1.10784353660716_[TARGET 332 NAME]_[ORGANIZER 33 NAME]
1.10850498102524_[TARGET 264 NAME]_[ORGANIZER 24 NAME]
1.1097105000742_[TARGET 580 NAME]_[ORGANIZER 31 NAME]
1.1101068281534_[TARGET 245 NAME]_[ORGANIZER 33 NAME]
1.11490713663189_[TARGET 372 NAME]_[ORGANIZER 39 NAME]
1.11956388256474_[TARGET 512 NAME]_[ORGANIZER 29 NAME]
1.12136263760571_[TARGET 451 NAME]_[ORGANIZER 11 NAME]
1.12175056496283_[TARGET 265 NAME]_[ORGANIZER 28 NAME]
1.12282977529691_[TARGET 609 NAME]_[ORGANIZER 13 NAME]
1.12311960067469_[TARGET 295 NAME]_[ORGANIZER 9 NAME]
1.12607643538279_[TARGET 610 NAME]_[ORGANIZER 23 NAME]
1.12837301854484_[TARGET 512 NAME]_[ORGANIZER 18 NAME]
1.13497890644394_[TARGET 27 NAME]_[ORGANIZER 39 NAME]
1.13959125522404_[TARGET 330 NAME]_[ORGANIZER 5 NAME]
1.14064994741491_[TARGET 152 NAME]_[ORGANIZER 3 NAME]
1.14188341276174_[TARGET 250 NAME]_[ORGANIZER 11 NAME]
1.1419982706433_[TARGET 303 NAME]_[ORGANIZER 4 NAME]
1.14220353454736_[TARGET 537 NAME]_[ORGANIZER 19 NAME]
1.14509274713752_[TARGET 563 NAME]_[ORGANIZER 13 NAME]
1.14564516519954_[TARGET 555 NAME]_[ORGANIZER 18 NAME]
1.14694469385676_[TARGET 23 NAME]_[ORGANIZER 28 NAME]
1.14775898663513_[TARGET 117 NAME]_[ORGANIZER 28 NAME]
1.15207817415349_[TARGET 181 NAME]_[ORGANIZER 21 NAME]
1.15494368928069_[TARGET 380 NAME]_[ORGANIZER 37 NAME]
1.15946968225679_[TARGET 366 NAME]_[ORGANIZER 27 NAME]
1.16001753794833_[TARGET 473 NAME]_[ORGANIZER 19 NAME]
1.16227763179593_[TARGET 637 NAME]_[ORGANIZER 14 NAME]
1.16303813164044_[TARGET 596 NAME]_[ORGANIZER 10 NAME]
1.16324614204595_[TARGET 475 NAME]_[ORGANIZER 20 NAME]
1.16411850805417_[TARGET 384 NAME]_[ORGANIZER 22 NAME]
1.16800401098828_[TARGET 9 NAME]_[ORGANIZER 9 NAME]
